HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France,Mexico,1930,4,1,5
Argentina,France,1930,1,0,1
Chile,Mexico,1930,3,0,3
Chile,France,1930,1,0,1
Argentina,Mexico,1930,6,3,9
Argentina,Chile,1930,3,1,4
Yugoslavia,Brazil,1930,2,1,3
Yugoslavia,Bolivia,1930,4,0,4
Brazil,Bolivia,1930,4,0,4
Romania,Peru,1930,3,1,4
Uruguay,Peru,1930,1,0,1
Uruguay,Romania,1930,4,0,4
United States,Belgium,1930,3,0,3
United States,Paraguay,1930,3,0,3
Paraguay,Belgium,1930,1,0,1
Argentina,United States,1930,6,1,7
Uruguay,Yugoslavia,1930,6,1,7
Uruguay,Argentina,1930,4,2,6
Spain,Brazil,1934,3,1,4
Hungary,Egypt,1934,4,2,6
Switzerland,Netherlands,1934,3,2,5
Italy,United States,1934,7,1,8
Czechoslovakia,Romania,1934,2,1,3
Sweden,Argentina,1934,3,2,5
Austria,France,1934,3,2,5
Germany,Belgium,1934,5,2,7
Austria,Hungary,1934,2,1,3
Italy,Spain,1934,1,1,2
Germany,Sweden,1934,2,1,3
Czechoslovakia,Switzerland,1934,3,2,5
Italy,Spain,1934,1,0,1
Italy,Austria,1934,1,0,1
Czechoslovakia,Germany,1934,3,1,4
Germany,Austria,1934,3,2,5
Italy,Czechoslovakia,1934,2,1,3
Switzerland,Germany,1938,1,1,2
Hungary,Dutch East Indies,1938,6,0,6
Cuba,Romania,1938,3,3,6
France,Belgium,1938,3,1,4
Italy,Norway,1938,2,1,3
Brazil,Poland,1938,6,5,11
Czechoslovakia,Netherlands,1938,3,0,3
Switzerland,Germany,1938,4,2,6
Cuba,Romania,1938,2,1,3
Hungary,Switzerland,1938,2,0,2
Sweden,Cuba,1938,8,0,8
Italy,France,1938,3,1,4
Brazil,Czechoslovakia,1938,1,1,2
Brazil,Czechoslovakia,1938,2,1,3
Hungary,Sweden,1938,5,1,6
Italy,Brazil,1938,2,1,3
Brazil,Sweden,1938,4,2,6
Italy,Hungary,1938,4,2,6
Brazil,Mexico,1950,4,0,4
Yugoslavia,Switzerland,1950,3,0,3
Brazil,Switzerland,1950,2,2,4
Yugoslavia,Mexico,1950,4,1,5
Brazil,Yugoslavia,1950,2,0,2
Switzerland,Mexico,1950,2,1,3
England,Chile,1950,2,0,2
Spain,United States,1950,3,1,4
Spain,Chile,1950,2,0,2
United States,England,1950,1,0,1
Spain,England,1950,1,0,1
Chile,United States,1950,5,2,7
Sweden,Italy,1950,3,2,5
Sweden,Paraguay,1950,2,2,4
Italy,Paraguay,1950,2,0,2
Uruguay,Bolivia,1950,8,0,8
Uruguay,Spain,1950,2,2,4
Brazil,Sweden,1950,7,1,8
Brazil,Spain,1950,6,1,7
Uruguay,Sweden,1950,3,2,5
Sweden,Spain,1950,3,1,4
Uruguay,Brazil,1950,2,1,3
Brazil,Mexico,1954,5,0,5
Yugoslavia,France,1954,1,0,1
Brazil,Yugoslavia,1954,1,1,2
France,Mexico,1954,3,2,5
West Germany,Turkey,1954,4,1,5
Hungary,South Korea,1954,9,0,9
Hungary,West Germany,1954,8,3,11
Turkey,South Korea,1954,7,0,7
West Germany,Turkey,1954,7,2,9
Uruguay,Czechoslovakia,1954,2,0,2
Austria,Scotland,1954,1,0,1
Uruguay,Scotland,1954,7,0,7
